objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"That's a Question!","226322","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117495093","5.56439","5.69474","1.0476","11040","3151","thing","That's a Question!","3","6","30","30","30","2017","4,5,6","6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"That's What She Said Game","151847","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664046","5.47248","5.25739","1.3636","26693","1044","thing","That's What She Said Game","4","10","60","60","30","2016","4,5,6,7,8","5,6","14+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Thunder Road: Vendetta","342070","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696471","7.14343","7.97249","1.951","337","7899","thing","Thunder Road: Vendetta","2","4","75","75","45","2023","2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Thunderstone Advance: Towers of Ruin","116998","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117695802","6.709","7.31906","2.748","863","7053","thing","Thunderstone Advance: Towers of Ruin","1","5","45","45","45","2012","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride","9209","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663922","7.27027","7.39074","1.8244","245","137579","thing","Ticket to Ride","2","5","60","60","30","2004","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride: Europe","14996","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663913","7.40182","7.52725","1.9183","171","125616","thing","Ticket to Ride: Europe","2","5","60","60","30","2005","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride: First Journey (U.S.)","205125","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663953","6.18713","6.85717","1.4043","2147","7884","thing","Ticket to Ride: First Journey (U.S.)","2","4","30","30","15","2016","2,3,4","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride: Rails & Sails","202670","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663930","6.76072","7.43258","2.47","774","12010","thing","Ticket to Ride: Rails & Sails","2","5","120","120","60","2016","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"TieBreaker","96672","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117788552","5.51672","5.82924","1","18776","480","thing","TieBreaker","2","99","1","1","1","2011","2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31","2","8","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Kingdoms","148951","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696176","6.28311","6.54324","2.0918","1801","18569","thing","Tiny Epic Kingdoms","2","5","45","45","30","2014","2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Quest","201921","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696144","6.59176","6.95946","2.6733","1058","20326","thing","Tiny Epic Quest","1","4","60","60","30","2017","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Zombies","244536","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696157","6.47619","6.95014","2.5179","1287","17357","thing","Tiny Epic Zombies","1","5","45","45","30","2018","1,2,3,4,5","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Tokaido","123540","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664498","6.75196","6.91934","1.7446","790","40726","thing","Tokaido","2","5","45","45","45","2012","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tokyo Highway","215463","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696828","6.07869","6.64013","1.4118","2602","4240","thing","Tokyo Highway","2","2","50","50","30","2016","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tonari","273993","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664832","5.59942","6.47354","1.125","8800","681","thing","Tonari","2","4","45","45","30","2019","2,3","3","6","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Top Gun Strategy Game","294348","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117695700","5.49659","5.57326","2","24112","1241","thing","Top Gun Strategy Game","2","4","40","40","30","2020","2","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Tower of Madness","226146","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696062","5.65292","6.44167","1.75","6919","1213","thing","Tower of Madness","3","5","45","45","30","2018","3,4,5","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Towers of Arkhanos","257987","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697027","5.76311","6.67134","1.3889","4952","2013","thing","The Towers of Arkhanos","2","4","30","30","20","2019","2,3,4","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Treasure Hunter","182189","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664400","6.23934","6.75649","1.8909","1942","5424","thing","Treasure Hunter","2","6","40","40","40","2015","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Truck Off: The Food Truck Frenzy Roll And Write","283790","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118299152","5.54356","6.26403","2","13152","365","thing","Truck Off: The Food Truck Frenzy Roll And Write","1","99","35","35","25","2019","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31","2,3,4,5,6,7,8","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Tsuro","16992","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664411","6.53678","6.66775","1.219","1171","44184","thing","Tsuro","2","8","20","20","15","2005","2,3,4,5,6,7,8","4,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Twisty","258761","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117665148","5.55651","7.08111","1.4","11689","202","thing","Twisty","2","4","30","30","20","2018","2,3,4","4","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Two by Two","66608","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696662","5.59558","5.97349","1.5","9005","929","thing","Two by Two","2","4","45","45","45","2010","2,3,4","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ugah Ugah!","183344","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117665259","5.51846","6.16667","1.3333","18295","166","thing","Ugah Ugah!","2","4","15","15","15","2015","2,3,4","4","5–12","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Unfathomable","340466","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697420","6.89592","7.49939","3.125","598","13086","thing","Unfathomable","3","6","240","240","120","2021","4,5,6","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Escape Adventures – Squeek & Sausage","216092","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696387","6.47079","7.15641","2.0541","1300","4423","thing","Unlock!: Escape Adventures – Squeek & Sausage","1","6","75","75","45","2017","1,2,3,4","2,3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Mystery Adventures – The House on the Hill","230303","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696230","6.24238","6.9747","1.8148","1931","3665","thing","Unlock!: Mystery Adventures – The House on the Hill","1","6","60","60","60","2017","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Mystery Adventures – The Nautilus' Traps","230304","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696263","5.73577","5.97206","2.7742","5320","3589","thing","Unlock!: Mystery Adventures – The Nautilus' Traps","1","6","60","60","60","2017","2,3,4","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Mystery Adventures – The Tonipal's Treasure","230305","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696222","6.20318","6.94709","2.4783","2081","3888","thing","Unlock!: Mystery Adventures – The Tonipal's Treasure","1","6","60","60","60","2017","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlocked: The Mansion of Mana","203170","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696410","5.50161","5.91389","1.6667","22976","107","thing","Unlocked: The Mansion of Mana","1","5","60","60","30","2016","","","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"UnNatural Selection","146104","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117788207","5.4826","5.20206","1","26040","295","thing","UnNatural Selection","3","10","30","30","30","2013","3,4,5,6,7,8","5,6","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"UNO: With Customizable Wild Cards","191128","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664863","5.5921","6.23086","1.1333","9177","1361","thing","UNO: With Customizable Wild Cards","2","10","30","30","30","2015","2,3,4,5,6,7,8","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Vegas Showdown","15364","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696802","6.71981","7.15127","2.3578","844","7805","thing","Vegas Showdown","3","5","75","75","75","2005","3,4,5","5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Veiled Fate","315695","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117695776","6.29397","7.57007","2.2182","1762","3013","thing","Veiled Fate","2","8","90","90","60","2022","2,3,4,5,6,7,8","6","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Vienna Connection","299255","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697397","5.97515","7.18235","2.0455","3138","3293","thing","Vienna Connection","1","5","180","180","120","2021","1,2,3,4","2","16+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Visitor in Blackwood Grove","231223","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696936","5.67381","6.17121","1.4444","6427","2028","thing","Visitor in Blackwood Grove","3","6","15","15","5","2018","3,4,5,6","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Vivid Memories","316090","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696540","5.75266","6.55594","2.9487","5072","2066","thing","Vivid Memories","2","4","45","45","30","2022","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Wacky Races: The Board Game","256729","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117695987","5.77326","6.55884","1.2083","4828","2307","thing","Wacky Races: The Board Game","2","6","20","20","20","2019","1,2,3,4,5,6","4,5,6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Wanted: Rich or Dead","231315","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696859","5.51271","5.92169","2","19932","261","thing","Wanted: Rich or Dead","3","5","30","30","10","2017","3,4,5","4,5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Wavelength","262543","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664213","6.99433","7.24692","1.1025","480","26565","thing","Wavelength","2","12","45","45","30","2019","4,5,6,7,8,9,10,11,12","6,8","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"We're Doomed!","264806","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663637","5.75033","6.42483","1.1765","5102","1779","thing","We're Doomed!","4","10","15","15","15","2019","4,5,6,7,8,9,10","7,8,10","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"When I Dream","198454","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663973","6.51413","6.93811","1.1932","1213","10676","thing","When I Dream","4","10","40","40","20","2016","4,5,6,7,8,9,10","6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Whistle Stop","221318","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696839","6.46508","7.04878","2.7558","1323","5719","thing","Whistle Stop","2","5","75","75","75","2017","2,3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Who Would Win","44614","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118754999","5.56623","6.1066","1.2174","10886","567","thing","Who Would Win","3","99","15","15","15","2009","3,5,6,7,8,9,10,11","5,6","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Wits & Wagers Party","123239","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664204","6.24522","6.89623","1.1091","1923","6177","thing","Wits & Wagers Party","4","18","25","25","25","2012","4,5,6,7,8,9,10,12","5,6","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Wizard","1465","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784487","6.71191","6.98057","1.7091","857","22391","thing","Wizard","3","6","45","45","45","1984","3,4,5,6","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Wonderland","246938","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118430220","5.56467","6.07286","1.5556","11010","940","thing","Wonderland","2","2","30","30","15","2018","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Word Slam","203411","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663992","5.97539","6.90899","1.1","3137","1721","thing","Word Slam","3","99","45","45","45","2016","4,5,6,7,8,9,10","6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Word Slam Family","245389","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784089","5.66539","7.07048","1.3333","6628","882","thing","Word Slam Family","3","99","45","45","45","2018","4,5,6,7,8,9","6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Wrong Party","336622","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118754578","5.60007","6.42074","1.2222","8761","1510","thing","Wrong Party","2","5","60","60","30","2021","3,4,5","5","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"XenoShyft: Onslaught","159109","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696675","6.35601","6.89634","2.625","1586","6265","thing","XenoShyft: Onslaught","1","4","60","60","30","2015","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Yahtzee","2243","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664921","5.46122","5.51538","1.1764","27124","31709","thing","Yahtzee","2","10","30","30","30","1956","2,3,4,5,6","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Yahtzee Jr.","3845","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117665032","5.40365","5.02515","1.0952","27687","1377","thing","Yahtzee Jr.","2","4","10","10","10","1988","2,3,4","4","3+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"You Suck","140468","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663838","5.52628","5.97084","1.3636","16284","261","thing","You Suck","2","6","30","30","30","2013","3,4,5,6","4,5,6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Zeppelin Attack!","153639","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117788623","5.64873","6.70188","2.3182","7028","940","thing","Zeppelin Attack!","2","4","45","45","45","2014","2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Zombicide: Invader","248065","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697221","6.63862","7.76984","2.3563","981","7270","thing","Zombicide: Invader","1","6","60","60","60","2019","1,2,3,4,5,6","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
